cellNames	media	glucose	threonine	lysine	glutamine	serine
HS_578T	0.776209196854544	0.784534424216963	0.784534405499772	0.784534405495258	0.786099085472439	0.787938917805677
RPMI_8226	1.26149411890182	0.690631059990194	0.148144222543817	0.148144222543817	0.148144222543816	0.148144222543817
HT29	0.490545100877955	0.159145667720703	0.159145667713217	0.159145667876674	0.159145643603522	0.137245905829802
MALME_3M	1.25657792684244	0.0205943962971599	0.020594396332389	0.0205943962228603	0.0205943963013853	0.0205943963205535
SR	0.583950836924134	0.59806205176237	0.598062007457821	0.598062046296844	0.600858699763568	0.602512718721658
UO_31	1.07787860119147	0.611615793124282	0.31491644650448	0.092557536272573	0.0925575362725729	0.092557536272573
MDMAMB_231	1.87753624826912	0.274896441471936	0.274896441401911	0.274896437376152	0.274896441451287	0.274830109740936
HOP62	1.19069808857089	0.631959447292192	0.499311114101164	0.398342639259406	0.398342639259399	0.398342639259403
NCI_H226	0.557760138593557	0.579965728683776	0.579965675929534	0.57996573081947	0.583806094846633	0.58739251968996
HOP92	0.288384972986942	0.379064299879654	0.37906429367298	0.3790643096049	0.379064294745298	0.379064293085345
O_786	0.892129022492959	0.892174717967544	0.892174717968097	0.892174717967642	0.8922842590428	0.892939544074241
