cellNames	media	glucose	threonine	lysine	glutamine	serine
HS_578T	166.816435647568	84.7883258944544	0.251121459979728	0.251121459979728	0.251121459979728	0.251121459979728
RPMI_8226	601.546698970012	601.546698970011	0.14929351606125	0.14929351606125	0.149293516059878	0.149293516059877
HT29	354.066833414312	354.066833414315	0.211840007155102	0.211840007149147	0.211840007149147	0.211840007155102
MALME_3M	530.122888373268	530.122888373268	0.477846829790975	0.155061532261545	0.155061532261546	0.1550615322675
SR	309.071416754421	158.302107882623	0.683480750687006	0.683480750690413	0.683480750687006	0.683480750687006
UO_31	846.547438158779	846.547438158779	0.316232679183664	0.0936511874600332	0.0936511874660344	0.0936511874660341
MDMAMB_231	1009.96406014797	1009.96406014797	0.497488092011014	0.429248277336876	0.429248277339985	0.429248277336876
HOP62	961.800143287746	961.800143287745	0.500811926040897	0.399742381647465	0.399742381647465	0.399742381647465
NCI_H226	330.504871145064	168.310760352994	0.309354944214055	0.30935494422338	0.30935494422338	0.30935494422338
HOP92	485.522443848479	485.522443848479	0.234194032005557	0.234194032011593	0.234194032011593	0.234194032005557
O_786	230.120441330047	117.017830954162	0.113103967174555	0.113103967174555	0.113103967174555	0.113103967174555
