cellNames	experimental	media	glucose	threonine	lysine	glutamine	serine
HS_578T	0.035730055	0.00799605770488131	0.0076985968733346	0.00769859754210086	0.00769859754226213	0.00764269144062006	0.00757695413016268
RPMI_8226	0.018333143	0.0414602950754861	0.0309945809830418	0.0210490922165196	0.0210490922165196	0.0210490922165196	0.0210490922165196
HT29	0.031111255	0.0463727287224148	0.0360624764506041	0.0360624764503712	0.0360624764554565	0.0360624757002883	0.035381147373977
MALME_3M	0.020798529	0.0469335014521923	0.021226862148624	0.0212268621493567	0.0212268621470787	0.0212268621487119	0.0212268621491105
SR	0.019171008	0.00797608183372073	0.0077055556211672	0.00770555647053006	0.00770555572594684	0.00765194105996304	0.00762023184928535
UO_31	0.013033577	0.0270821907452814	0.0210051185341014	0.0171380647540825	0.0142399327759389	0.0142399327759389	0.0142399327759389
MDMAMB_231	0.010926773	0.0314421853841083	0.0139305040144716	0.0139305040137065	0.0139305039697179	0.013930504014246	0.0139297792227043
HOP62	0.011473383	0.0251347182075417	0.0187240957792516	0.0172021706482394	0.016043720665454	0.0160437206654539	0.016043720665454
NCI_H226	0.018027769	0.00797259806402737	0.00757228081537222	0.0075722817664135	0.00757228077687042	0.00750304758131281	0.00743839234270145
HOP92	0.02270517	0.0161573401628861	0.0140984506303015	0.0140984507712251	0.0140984504094881	0.0140984507468779	0.0140984507845674
O_786	0.025987054	0.00280324891750827	0.00280206142674265	0.0028020614267283	0.00280206142674011	0.00279921477690477	0.00278218584940731
